HGNC Symbol,Brodmann (1909) area 24,Brodmann (1909) area 9,C1 segment of cervical spinal cord,EBV-transformed lymphocyte,adrenal gland,amygdala,aorta,atrium auricular region,blood,breast,caudate nucleus,cerebellar hemisphere,cerebellum,cerebral cortex,coronary artery,cortex of kidney,ectocervix,endocervix,esophagogastric junction,esophagus mucosa,esophagus muscularis mucosa,fallopian tube,greater omentum,heart left ventricle,hippocampus proper,hypothalamus,liver,lower leg skin,lung,minor salivary gland,nucleus accumbens,ovary,pancreas,pituitary gland,prostate gland,putamen,sigmoid colon,skeletal muscle tissue,small intestine Peyer's patch,spleen,stomach,subcutaneous adipose tissue,substantia nigra,suprapubic skin,testis,thyroid gland,tibial artery,tibial nerve,transformed skin fibroblast,transverse colon,urinary bladder,uterus,vagina
ADRA2C,7,6,2,0,4,5,201,3,0,13,26,4,3,7,62,20,97,314,5,3,5,49,14,3,4,4,0,11,7,2,17,5,3,8,32,24,4,3,4,39,2,25,2,7,9,2,129,11,0.9,3,6,68,22
ADRB1,8,12,1,0.7,0,4,0,15,0,2,7,0.9,2,13,2,1,0,0,4,0.8,5,0,6,15,3,3,0,0.6,25,0,13,0,0.7,0,6,7,3,0,4,3,1,3,3,0.8,1,1,0,0,0,2,0.5,0,0
ADRB2,1,1,2,0.9,0.6,1,3,4,4,25,1,0.5,0.7,1,5,0.8,8,4,5,10,5,4,22,3,1,1,4,27,19,6,1,0.7,0.5,0.6,6,0.8,3,4,3,11,3,27,2,29,0.7,3,3,7,0.9,2,4,5,13
ADRB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,7,10,0,0,0,0,0,0,0,0,0,28,0,0,0.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.8,6,1,0
AGTR1,0,0,0,0,36,0,7,7,0,41,0,0,0,0,10,6,6,8,11,2,10,13,38,2,0,0.6,32,18,15,5,0,3,2,2,6,0,25,6,3,6,3,81,0.7,8,3,20,17,15,8,6,10,6,6
AMY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY2,0.6,0.6,0,0,0,0,0,0,0,0,0.8,0,0,0.8,0,0,0.7,0,0,0,0,0.9,0,0,0.5,0,0,0,0,0,1,0.5,2694,0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,0,0.7,0,0,0,0,0
AMY3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVPR1A,0,0,0,0,42,0,2,0.6,0,14,0,0,0,0,5,3,11,9,3,1,3,17,26,1,0,0,10,4,0.9,2,0,2,0.9,1,3,0,3,1,1,0.7,2,26,0,3,0.9,15,53,5,0,1,3,15,6
AVPR1B,0,0,0,0,0,0,0,0,0,0,0,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVPR2,0,0,0,0,0,0,1,2,0,11,0,5,4,0,4,3,6,8,4,1,5,6,12,3,0,0,0,3,2,2,0,0.6,0.7,0,2,0,3,2,2,1,2,14,0,3,0.7,4,2,7,0,2,3,6,4
BDKRB1,0,0,0,0,0,0,0,0,0,0.7,0,2,2,0,0,2,6,7,1,7,1,1,3,0,0,0,0,2,0,0,0,0,1,0,0.9,0,1,0,2,0,0.9,0.6,0,2,3,0.9,0,2,2,2,0.9,0.9,6
BDKRB2,0,0,0,0,0.8,0,2,0.6,0,7,0,4,3,0,3,6,38,39,6,20,6,9,14,0,0,0,0,5,2,2,0,0.9,3,0.9,7,0,7,0,11,0,4,7,0,6,0,5,1,14,3,9,11,4,26
CALCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
CASR,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
CCR4,0,0,0,0.9,0,0,0.6,0,3,0.7,0,0.5,0.5,0,0.6,0,0.6,0.7,0,0.7,0,1,0.7,0,0,0,0,0.7,3,0.7,0,0.6,0,0.5,0.7,0,0,0,1,4,0.5,0.8,0,0.9,2,0.8,0,0.6,0,0.6,0.6,0.6,0.9
CCR5,0,0,2,0,1,0,1,0,3,0.8,0,0,0,0,2,0.7,1,2,0.7,1,0.9,2,2,0,0,0,0.6,0,6,2,0,0.7,0.5,0.7,2,0,1,0,4,11,2,1,0.6,0,0,1,0.6,1,0,2,2,1,1
CGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3415,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRM1,31,49,0,0,0,12,0,0,0,0.5,24,0,0,57,0,0,0,0,0,0,0,0,0,0,21,2,0,4,2,11,35,0,0,0,23,23,0.7,0,0.5,0,0.6,0,0.5,3,0,0,0,0,0,0.6,0,0,0
CHRM2,0.5,0.8,0,0,0,0,0,13,0,0,0,0,0,0.5,0,0,0.8,0,8,0,3,0,0,8,0,1,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0.5,0,0,0,0.6,0,0,0,0,5,8,0,0
CHRM3,5,9,0,0,0,1,0,0,0,0.5,0.9,0,0,7,1,0.6,0,0,12,1,12,0.7,0,0,1,1,0,1,0.9,4,0.6,3,5,0.6,0.8,1,9,0,1,0.5,6,0,0,0.9,0.9,2,0.5,0,0,3,2,1,0
CHRM4,3,7,0,0.5,0,1,0,0,0,0,14,0.5,0.6,8,0,0,0,0,0.6,0,0.7,0.6,0,0,2,1,0,3,0,0,15,0,0,3,0,11,3,0,6,11,0,0,0,3,13,0,0,0,0,1,0,0,0
CHRM5,0,0,2,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,1,0,0,0.6,0,0,0,0,0
CNR1,23,19,2,6,7,9,5,0.7,0,20,14,38,34,16,7,0,12,8,10,3,8,29,28,0,14,11,0,4,7,3,9,3,1,37,3,16,20,2,12,3,3,30,2,3,2,8,26,11,25,7,5,7,5
CNR2,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0.6,0.9,0,0,0,0,0,0,0
CXCR4,5,4,69,57,78,6,40,12,622,35,8,3,4,5,38,13,35,28,11,18,11,57,54,4,8,13,11,11,138,29,6,14,5,52,36,6,13,3,103,489,27,37,10,14,7,43,27,85,0,23,34,25,37
CYSLTR1,0.8,0.8,2,7,1,0.7,3,0.9,2,3,0.9,2,2,0.9,3,1,2,2,10,2,13,3,3,0.5,0.9,1,1,2,3,3,0.8,2,0.9,2,2,0.7,2,0.6,3,7,2,4,1,2,2,4,2,3,1,2,2,2,2
CYSLTR2,2,2,1,1,8,1,0.6,5,0.6,0,2,0.9,0.7,1,1,0,0.6,0.8,0,0,0,0.9,1,3,2,2,0,0.8,1,0,1,1,0,0.5,0.8,2,0.6,0,1,4,0,0.5,2,0.8,0.5,0.5,0,0,0,0.5,0,0,0.7
DRD1,4,6,0,0,0,2,1,0,0,0,30,0,0.5,5,0,0,0.6,1,0,0,0,0.8,0.7,0,1,0.9,0,0,1,0,33,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.5,0.6,0.6
DRD2,0.8,0.9,0.7,0,0,1,0.7,0,0,0.7,33,0.8,1,1,0,0,0,2,0,0,0,0.9,0,0,0.9,7,0,0.8,0,8,42,0,0,83,0.8,40,0.5,0,0,0,0,0,8,0.7,1,0,0,4,0,0,0,0.6,0.6
DRD3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DRD4,2,3,3,0.6,1,2,3,0.7,0,2,2,8,10,4,3,2,4,6,5,2,4,7,2,0.5,2,3,1,4,2,2,3,9,2,11,5,2,5,1,3,2,2,3,2,4,8,5,3,6,0.8,2,4,7,5
DRD5,3,2,0,0,0,0.5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.7,0,0,0.5,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
EDNRA,2,2,2,0,4,1,21,23,0,17,2,0.8,0.9,2,38,4,87,81,11,6,5,57,14,7,2,2,1,9,32,11,1,57,0.9,5,38,2,6,2,3,9,5,21,3,9,8,17,47,22,7,2,18,56,56
EDNRB,28,17,22,0,28,27,7,23,0.8,53,51,9,14,16,18,20,47,36,16,4,17,26,80,13,16,33,11,16,76,10,47,6,6,9,24,43,13,7,14,16,9,70,33,15,4,50,14,26,8,9,21,24,26
F2R,1,1,1,6,17,0.8,88,13,4,18,1,0,0,1,55,17,13,27,11,6,11,11,14,9,0.8,1,5,49,44,41,1,6,3,8,12,0.7,10,3,14,50,6,26,1,52,13,21,52,12,35,8,7,16,10
FFAR1,0,0,4,4,0,0.6,0,0,0,0,0.8,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.9,0.6,0,0,0,0,0.5,5,2,0,0,0.8,0,0,0.6,0.7,0,0,1,0,0.6,0,0,0,0,0,0,0,0
FPR1,1,2,8,0,7,2,15,4,1440,6,2,1,0.9,1,14,3,3,4,3,2,4,13,23,2,2,4,3,1,64,3,2,3,2,2,3,1,4,1,3,173,3,10,4,1,2,5,7,9,5,2,5,3,3
GABBR,144,143,30,4,27,87,78,24,16,47,116,232,202,123,58,20,100,123,79,25,72,90,40,12,73,95,4,29,48,33,162,108,9,63,75,106,65,5,32,77,25,36,61,38,18,59,62,91,27,27,51,147,74
GCGR,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,26,0.6,0.5,0,0,0,0.6,0,0,0,0,95,1,0,0,0,0,0.8,0.5,0,0,1,0,0.8,0,0,0,0,2,2,0,0,13,0,0.6,0,0,0.8
GHRH,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLP1R,0,0,0,0,0,0,0,2,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0,0,0,0
GLP2R,2,1,0,0,0,0,0,0,0,0.9,0,0,0,0.9,3,0,5,22,8,0,7,2,9,0,0,0,0.5,0,0.8,0,0.6,0.5,0.9,0,0,0,18,0,10,0,2,1,0,0,0.5,0,0,0,0,9,8,2,1
GNRH1,2,2,4,5,2,2,18,4,3,10,3,21,20,3,13,5,13,17,12,8,11,13,7,3,2,3,2,15,10,9,3,17,3,10,15,4,11,2,9,13,5,10,3,13,9,10,14,50,9,9,8,14,16
GPBAR1,0,0,0,0,1,0,2,2,9,7,0,0,0,0,4,0.9,0.8,0.6,2,0.6,2,2,11,0.7,0,0,0.7,1,3,0.7,0,2,0.8,1,1,0,3,0,2,8,3,12,0,1,4,2,0.8,2,0,2,4,1,0.8
GPER1,10,9,6,27,14,8,9,3,3,12,11,5,8,12,11,8,7,10,13,3,11,12,13,3,8,7,15,4,12,4,8,5,1,11,11,12,16,1,4,16,37,17,10,4,3,19,16,19,3,9,9,11,7
GPR143,5,4,5,0,1,3,0,0,0,0.8,7,1,2,5,0,4,3,4,0,3,0,2,0.5,0,3,5,0.5,4,2,1,7,5,0.7,4,2,6,0,0,0,0,0.6,0,5,4,1,2,0,0,0,0.6,0.6,2,2
GPR18,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0.7,0.5,0,0.6,0,0,0,0,0,0,0,0,0.9,0.5,0,0,0,0,0.7,0,0,0,2,15,0,0,0,0.5,21,0.5,0,0,0,0.5,0,0,0.8
GPR35,1,1,2,2,0.5,1,2,0.6,3,2,1,3,4,2,2,2,3,4,3,2,2,8,2,0.7,1,2,0.5,2,3,1,2,4,0.5,6,3,1,4,0.6,23,8,5,1,1,2,5,3,2,2,0,21,1,4,2
GPR55,0,0.8,0,24,0,0,0,0,1,0,1,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0.6,0,1,0,0,3,6,0,0,0,0,8,0,0,0,0,0.8,0,0,0.6
GPR68,2,3,1,3,0.6,0.9,1,1,3,3,0.5,8,10,3,3,2,5,4,5,8,5,3,2,0.9,0.9,5,0.7,8,9,5,0.6,0.7,0.5,22,5,0,3,0.6,4,7,7,6,1,7,5,3,2,2,4,5,3,2,7
HCAR1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,2,3,0,0,0,2,6,0,0,0,0,0,0.5,3,0,0.6,0,0.8,1,0,0,0,0,5,2,3,0,0,2,3,0,1,0,0,1,0.5,0.8
HCAR2,0,0,0,0.8,0,0,0,0,97,8,0,0,0,0,1,2,0.7,0,0,45,0,0.5,13,0,0,0,0.6,31,9,13,0,0,0,0,3,0,0,0,0,22,0.7,11,0,34,4,0.6,0,0.8,0,0,3,0,21
HCRTR1,0,0,0,0,0,0,0.8,0,0,0.6,0,0,0,0.6,0.6,0,0,0,0.6,0,0.7,0.6,0.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0
HCRTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
HCRTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
HRH1,6,6,1,0,0.7,2,22,0.7,0,6,1,0,0,5,9,1,7,11,4,4,4,8,6,0.5,2,2,0,7,6,3,2,6,0,0.6,3,0.8,7,0.6,4,1,1,8,0.7,6,1,3,13,16,16,5,5,5,9
HRH2,2,4,0.7,0,0.6,0.5,2,3,47,2,2,0,0,3,5,0.7,2,2,0.9,0.5,0.9,3,3,4,0.5,0.5,0,1,5,0.7,3,0.6,0,0.5,2,2,0.6,0,0.8,6,7,4,0,0.5,0.6,1,4,2,0,0,1,2,1
HRH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.5,0,0,0,0,0
HTR1A,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTR1B,1,2,0.5,0,0,0.6,15,0,0,0.6,2,0,0,2,14,0,1,1,3,0,3,0.7,0,0,0.5,1,0,0,1,0,4,0.6,0,0.5,0.5,1,0,0,0,0,1,1,0.5,0,2,0.6,29,0.9,14,0,2,1,0.7
HTR1D,0,0.7,0,0,0,0.6,0,0,0,0,4,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,8,0,0,0,0,4,0,0,5,0,0,0,0,0,0.6,0,0,0.5,0,0,0,0,0
HTR1E,3,5,0,0,0,0.6,0,0,0,0,2,2,2,4,0,0,0,0,0,0,0.5,0,0,0,0.8,1,0,0,0,0,3,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
HTR1F,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,1,0,0,0,0.6,0.7,0,0,0,0,0,0.5,0,0,0,0,0.7,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0.7,0,0,0,0.7,0
HTR2A,7,16,0.7,0,0,2,3,0,0,0,1,0,0,10,3,0,1,0.8,0.8,0,0,0.9,0.6,0,1,3,0,0,0,0,2,0,0,0,0,0,0.7,0,0,0,0,0,1,0,2,0,9,0,0,0,0,0.8,1
HTR2B,0,0,0,0.6,17,0,3,3,0,1,0,0,0,0,3,2,4,4,4,0,7,6,1,0,0,0,0.5,0,0.7,0.6,0,1,0,0.6,0.5,0,6,0,0.6,0.6,0.5,1,0,0,0.5,5,2,0.5,2,2,2,13,1
HTR2C,2,1,1,0,0,3,0,0,0,0,14,0,0,0.9,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,31,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HTR4,0,0,0,0,0,0,1,1,0,0,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0.8,0,3,0,0,0,0,0,0,0,0.7,0,0,2,0,0,0
HTR5A,7,15,0.7,0,0,2,0,0,0,0,3,32,28,11,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
HTR6,1,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
HTR7,1,0.9,0,0,0,0,3,0,0,0.6,0,0,0,0.7,2,0,0.5,0.7,0,0.8,0,0,0,0,0.7,2,0,0.9,0.6,0.5,0,0,0,0,0.5,0,0.6,0,1,0.5,1,1,0,0.5,15,0,0.7,1,5,0.5,2,0,1
LHCGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0.6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.8,0,0,0.9,0,0,6,0,0,0,0,0
MC1R,1,1,2,0.9,2,1,4,2,1,4,2,18,19,2,3,3,4,8,4,2,4,9,3,1,1,2,0.9,4,4,5,2,9,2,20,7,2,5,0.6,5,5,3,3,1,4,27,16,3,5,2,3,5,6,5
MC2R,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
MC3R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC4R,2,2,0,0,0,0.7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC5R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0
MLNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
MRGPRX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTNR1A,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MTNR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0
NPY4R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
OPRD1,2,3,0,0,0,0.7,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.8,0.5,0,0,0,0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPRK1,2,2,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,4,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
OPRM1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OXTR,3,2,3,20,0,2,1,0.5,0,8,3,2,2,2,0.9,0.5,0.5,2,0,0.9,0.5,0.7,0,0,2,5,0,0,0.7,0,7,2,0,0.6,1,3,0,0,0,0.8,0,0,6,0,0.7,0.7,0.5,0.9,3,0,0,0.9,0.5
P2RY1,4,3,2,2,2,5,2,2,0,2,8,1,2,3,2,0.5,11,7,2,25,2,3,2,1,3,3,0.7,11,17,2,15,11,2,1,6,5,15,1,6,5,0.9,3,2,11,2,2,1,8,0,12,4,13,17
P2RY11,6,7,4,22,3,4,4,2,4,7,5,12,12,8,5,4,7,10,7,6,7,13,6,2,5,5,3,12,7,6,6,10,3,9,11,5,8,4,8,13,5,6,4,11,11,12,4,8,7,7,7,8,8
P2RY12,8,7,25,0,1,8,1,0.7,0.7,2,8,2,1,3,2,0,0.6,2,2,0,2,2,3,0,9,9,0,0,2,0.8,7,0,0,0.5,0.7,6,2,0,2,4,0,4,20,0,0,0.6,0.9,10,0,1,1,0.5,0.8
P2RY13,2,1,5,0,1,2,1,0,75,1,2,0.8,0.6,1,1,0.5,0,1,0.8,1,0.8,2,2,0,2,3,0.7,0.8,7,1,2,0,0,0.9,1,2,1,0,5,84,0.7,2,4,0.8,0,0.8,0.8,1,0,2,0.7,0.7,0.7
P2RY2,0.5,0.5,0,0,4,0.5,4,3,4,2,1,0,0,0.5,5,1,1,3,0.7,38,0.6,2,1,5,0.6,0,2,6,6,4,0.5,0.8,0,2,3,1,0.6,29,5,7,1,0.8,0.8,7,2,18,2,7,0,4,4,1,33
PTGDR,0,0,0.6,0,0,0,1,0.7,3,2,0,0,0,0,2,0.5,4,6,1,0,0.9,3,2,1,0,0,0.6,1,3,1,0,1,0,2,2,0,0.9,0,2,10,0.7,4,0,0.8,0,3,1,5,0,9,1,4,3
PTGDR2,3,3,2,0,0,2,0,0,0.6,1,3,3,3,3,0,0,0.5,0.9,2,1,2,0.9,0.6,3,3,2,0,0.6,0.6,0,3,0,0,0.8,0.9,4,0.7,1,10,0.5,10,0.5,3,0.6,0.9,0,0,1,0.9,11,0.7,1,0
PTGER1,0,0.5,0.6,0,2,0,0.7,0,0,0.8,0.9,0,0,0.6,1,12,0.8,1,2,1,1,2,1,0,0,0.7,0,0,3,0.6,1,0,0,3,1,0.8,0.7,0,2,12,3,0.6,0,0,0.7,0.8,0,1,0.8,0.6,0.9,0.8,1
PTGER2,0,0,0.8,0.8,1,0,2,0.9,28,6,0,0,0,0,4,4,20,48,5,2,4,10,12,0,0,0,1,2,12,4,0,13,0.6,1,15,0,2,0,13,26,12,8,0,2,4,4,1,6,56,8,4,17,4
PTGER3,0.8,0.6,0,0,2,1,22,0.5,0,16,0,0,0,0,11,19,4,4,4,1,4,6,23,0,0,2,0,11,1,4,0,1,2,0.5,2,0,11,0,1,0,13,24,0,9,0.5,1,23,1,0,3,4,92,5
PTGER4,0,0,5,2,7,0.8,7,3,10,13,0.5,0,0,0,8,9,7,9,7,4,6,16,19,3,0.7,1,0.8,7,25,6,0.5,1,17,2,4,0,18,2,19,18,10,16,1,7,5,7,13,13,6,20,10,5,5
