HGNC Symbol,AllScore
morphine,193
mosapride,26.8
nabilone,3106
nadolol,1083.2
nafarelin,3992
nalbuphine,193
nalmefene,193
nalorphine,193
naloxone,193
naltrexone,193
naratriptan,905.5
nefazodone,538.4
netupitant,1103.4
nicardipine,0
niclosamide,7
octreotide,1522
olanzapine,5339.3
olmesartan,4538.7
olodaterol,601.4
orciprenaline,601.4
oxybutynin,4193.8
oxymetazoline,16664.8
oxytocin,3468.4
pasireotide,2488.5
pentoxifylline,931.5
periciazine,233.8
perospirone,2160
perphenazine,4433.8
pethidine,193
phenoxybenzamine,931.5
phentolamine,15342.6
phenylephrine,2504
pilocarpine,4193.8
pimavanserin,538.4
pimozide,3732.2
pindolol,2322.4
pipotiazine,1207
pirenzepine,4193.8
pizotifen,53
plerixafor,12765
practolol,360
pramipexole,1232
pramlintide,5426.2
pranlukast,1461.6
prazosin,15342.6
procaterol,601.4
prochlorperazine,2393.8
promazine,1232
promethazine,1908.8
propafenone,961.4
propantheline,4115.4
propranolol,723.2
prucalopride,26.8
pyrilamine,1908.8
quetiapine,4018.7
ramelteon,18.5
ranitidine,1080.8
regadenoson,2462.6
risperidone,8853.9
rizatriptan,905.5
rolapitant,1103.4
ropinirole,1232
rosiglitazone,181.6
rotigotine,2425.2
roxithromycin,8
salbutamol,601.4
salmeterol,601.4
sarpogrelate,1963.2
scopolamine,4115.4
secretin,0
selexipag,879
silodosin,3489.6
solifenacin,4193.8
sonidegib,4360
sotalol,961.4
sufentanil,25
sulpiride,1232
sumatriptan,1613.4
suramin,8158.5
suvorexant,99.9
tafluprost,2348.8
tamoxifen,2635
tamsulosin,3489.6
tapentadol,25
tasimelteon,18.5
teduglutide,0
telmisartan,4538.7
terazosin,3489.6
terbutaline,601.4
terguride,17232.2
teriparatide,2330
tesamorelin,22
theophylline,2462.6
thioridazine,3545
thiothixene,2447.2
ticagrelor,0
timolol,601.4
tiotropium,3572.9
tolterodine,4193.8
tolvaptan,2658
tramadol,193
trazodone,1963.2
treprostinil,4677.9
trifluoperazine,5237.4
trihexyphenidyl,2403.2
tripelennamine,1908.8
triprolidine,1908.8
triptorelin,3992
tropicamide,771.2
tropisetron,26.8
umeclidinium,4193.8
valsartan,4538.7
vapreotide,1711.5
vasopressin,3468.4
vilanterol,601.4
vilazodone,3220.6
vismodegib,4360
vorapaxar,0
vortioxetine,2495.5
yohimbine,14202
zafirlukast,1461.6
ziprasidone,5269.3
zolmitriptan,905.5
zotepine,7187.8
