Drug,Liver,Blood,Spinal Column,Nerve,Muscle,Alimentary Canal,Skin,Pancreas,Reproductive System,Mouth,Vascular System,Heart,Brain,Endocrine Gland,Urinary System,Adipose Tissue,Lung,Spleen
FSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98243611135506,0.017563888644945992,0.0,0.0,0.0
LH,0.0,0.0,0.0,39.2156862745098,0.0,6.5359477124183005,0.0,0.0,18.954248366013072,0.0,0.0,0.0,0.0,0.0,0.0,9.15032679738562,0.0,0.0
N-methyl scopolamine,0.0,0.0,0.0,0.0,0.0,8.669354838709678,2.2429435483870965,1.2600806451612903,1.6633064516129032,3.780241935483871,0.37802419354838707,0.0,70.81653225806451,6.653225806451613,0.655241935483871,0.0,0.7308467741935484,0.12600806451612903
PGE1,0.4695243891835493,3.043213633597079,0.6955916876793323,2.5215198678375796,0.2608468828797496,13.372750195635161,4.78219285279541,1.7389792191983307,12.946700286931572,1.1651160768628817,18.763585775149988,2.234588296669855,1.956351621598122,7.3211025128249725,7.138509694809148,5.773411007738459,6.695069993913573,7.651508564472655
PGE2,0.5239981055453108,1.1467497002126221,0.35873716456563576,6.469361226155566,0.2357991474953898,10.56158489273154,8.71146850469079,0.6005824440480869,21.690498503582333,1.1165190402773157,21.560506665860515,0.752743432389129,3.6317099468948073,4.699859931275633,4.25949998488467,6.683998911696242,2.0959924221812427,3.2497959430454366
PGI2,0.127408823060997,1.9111323459149547,1.178531613314222,2.707437490046186,0.3185220576524925,18.346870520783565,3.6948558687689124,2.707437490046186,14.237935977066412,1.3377926421404682,5.542283803153368,0.9555661729574774,3.5833731485905402,7.517120560598822,11.243828635132981,6.593406593406594,5.89265806657111,10.511227902532251
TSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3949447077409163,0.0,0.0,0.0,0.19747235387045814,99.13112164296999,0.0,0.0,0.0,0.2764612954186414
abaloparatide,2.832618025751073,0.0,1.0300429184549356,1.2875536480686696,0.34334763948497854,5.236051502145923,2.2317596566523603,0.34334763948497854,20.429184549356222,0.2575107296137339,6.094420600858369,1.888412017167382,14.935622317596566,6.094420600858369,21.373390557939913,5.665236051502146,2.9184549356223175,5.064377682403434
abarelix,0.40080160320641284,1.6032064128256514,0.8016032064128257,10.02004008016032,0.40080160320641284,10.821643286573146,7.414829659318637,0.6012024048096193,21.8436873747495,1.8036072144288577,9.01803607214429,1.402805611222445,13.627254509018035,7.414829659318637,2.6052104208416833,3.406813627254509,2.004008016032064,2.6052104208416833
acebutolol,0.0,0.3888888888888889,0.5555555555555556,0.0,0.0,8.222222222222221,0.7777777777777778,0.3888888888888889,1.6666666666666667,0.0,1.1111111111111112,16.666666666666668,42.16666666666667,3.888888888888889,0.8333333333333334,5.0,13.88888888888889,1.6666666666666667
acipimox,0.18650917003419334,30.400994715573514,0.0,0.24867889337892446,0.0,14.20578178427106,20.205160087037612,0.0,10.63102269194902,4.041032017407523,0.3108486167236556,0.0,0.0,1.1190550202051601,1.554243083618278,7.460366801367734,2.7976375505129,6.838669567920423
aclidinium,0.0,0.0,0.0,0.0,0.0,13.649976209801563,1.9927789750622742,1.1195387500349856,1.6737104313023035,3.358616250104957,0.33586162501049566,2.938789218841837,63.309916314478436,5.911164600184724,1.7016989000531781,0.0,0.7892748187746648,0.11195387500349856
adenosine,1.0964021765613579,0.9380329732802729,0.3654673921871193,3.614066433850402,0.2111589377081134,7.869731178429302,3.9389263380167305,0.2639486721351417,14.293835783318444,0.3654673921871193,40.23389913099976,0.9583367172906684,7.276861853325753,6.29416064322261,2.314626817185089,2.598879233330626,2.1928043531227157,3.0618045967676446
adomeglivant,65.15775034293553,0.4115226337448559,0.0,8.916323731138545,0.0,1.6460905349794237,2.05761316872428,0.5486968449931412,3.0864197530864197,0.0,0.0,0.0,0.0,0.34293552812071326,17.83264746227709,0.0,0.0,0.0
agomelatine,0.20184689912701215,0.2422162789524146,0.6862794570318413,0.20184689912701215,0.0,5.893929454508755,0.8073875965080486,0.0,15.3655951960438,0.2422162789524146,9.28495735984256,1.2110813947620729,50.522278851491144,9.325326739667961,1.6147751930160972,1.0496038754604633,0.282585658777817,0.2422162789524146
alfuzosin,6.419073819348923,0.0,0.25217790004585056,3.2095369096744615,0.0,4.080696928014672,3.3012379642365888,0.0,19.348922512608894,0.2751031636863824,20.311783585511233,1.1462631820265934,18.225584594222838,4.4245758826226504,1.9486474094452086,5.272810637322329,4.355800091701055,6.648326455754241
alprenolol,1.3302294645826405,1.6295310941137349,0.6651147322913202,2.327901563019621,1.3302294645826405,8.646491519787164,18.92251413368806,0.16627868307283006,20.086464915197876,1.995344196873961,3.6581310276022614,2.327901563019621,3.990688393747922,3.392085134685733,1.5962753574991686,16.29531094113735,6.318589956767543,3.6581310276022614
alvimopan,0.0,0.0,0.0,0.0,0.0,1.2953367875647668,0.0,0.0,7.512953367875648,0.0,0.0,0.0,91.19170984455958,0.0,0.0,0.0,0.0,0.0
ambrisentan,0.601935193519352,0.0405040504050405,1.203870387038704,2.3064806480648063,0.4444194419441944,4.7761026102610264,3.0996849684968497,0.3442844284428443,30.096759675967597,1.0013501350135015,6.7450495049504955,3.172817281728173,17.842034203420344,8.500225022502251,3.065931593159316,9.169666966696669,5.288028802880288,1.215121512151215
amisulpride,0.0,0.0,0.2899751449875725,1.6570008285004143,0.0,0.2071251035625518,0.6213753106876554,0.0,2.4026512013256007,3.3140016570008286,0.2899751449875725,0.0,56.503728251864125,34.71416735708368,0.0,0.0,0.0,0.0
amitriptyline,0.0,0.0407391715282078,0.3910960466707949,2.1640647915783986,0.07821920933415898,12.070201740377406,5.429716781279535,0.6518267444513248,9.138610957207572,2.3465762800247694,5.931623374507056,1.8674836228530456,46.86797249291139,4.637747286771177,1.7729687449076035,1.8251148844637095,1.2417299481797737,1.1569924714011015
amoxapine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9411764705882355,0.0,0.0,0.0,97.05882352941177,0.0,0.0,0.0,0.0,0.0
apomorphine,0.23014041633935586,0.04786920659858602,0.35042714061272584,1.8435781618224665,0.33140219952867245,3.855925962293794,2.190936763550668,0.9757953652788688,35.498085231736056,0.8272780832678713,14.817974273369993,0.6658729379418696,18.75736449332286,7.249729968578162,2.0129615082482326,6.549489395129616,0.5682934014139828,2.238805970149254
apraclonidine,0.032046880007325,0.0,0.1373437714599643,1.7396877718262143,0.17396877718262144,2.7468754291992856,2.4218285034107034,1.3276564574463214,46.05594469624136,0.5951563429931785,19.228128004395,0.3982969372338964,7.334157395962093,3.799844343725679,2.0143753147461427,8.469532573364464,0.6409376001465,2.4721878862793574
aprepitant,0.0,0.0,0.0,5.709624796084828,0.0,6.280587275693311,6.525285481239804,0.0,41.59869494290375,1.631321370309951,6.525285481239804,0.0,10.848287112561174,2.365415986949429,3.0179445350734087,13.050570962479608,0.8156606851549755,0.0
arformoterol,0.8321198252548367,1.1649677553567714,0.6240898689411275,1.4562096941959644,0.8321198252548367,8.487622217599334,12.128146453089245,0.24963594757645102,13.189099230289164,1.248179737882255,2.7043894320782194,7.697108383607239,18.285833159975038,3.5781152485957977,1.310588724776368,12.065737466195133,9.153318077803204,2.9124193883919287
aripiprazole,0.0,0.0,0.5487732135045931,3.0818785541018814,0.09543881973992922,5.159661192189923,6.153815564480853,0.0,10.856165745416948,1.2725175965323896,15.220503439774129,0.19087763947985845,42.04676502167258,9.651250646200342,1.1532190718574782,2.421760050900704,1.0538036346283852,0.1590646995665487
asenapine,0.0,0.0,0.433273647677786,3.426398744390654,0.10610783208435573,5.846983663815019,6.841744589605854,0.0,12.401352874859077,1.4147710944580765,16.92198863761965,0.21221566416871146,35.24769547052192,10.730154519530473,1.2821363043526317,2.6924862391405266,1.1716073125980946,0.17684638680725956
atenolol,0.8321198252548367,1.1649677553567714,0.6240898689411275,1.4562096941959644,0.8321198252548367,8.487622217599334,12.128146453089245,0.24963594757645102,13.189099230289164,1.248179737882255,2.7043894320782194,7.697108383607239,18.285833159975038,3.5781152485957977,1.310588724776368,12.065737466195133,9.153318077803204,2.9124193883919287
atosiban,2.306539038173221,4.613078076346442,0.6919617114519663,1.7645023642025142,0.34598085572598314,3.5520701187867605,2.6525198938992043,0.24795294660362127,23.24414715719064,0.5766347595433052,14.796447929881214,0.7726905777880291,9.86045438819052,17.252912005535695,1.8452312305385767,13.493253373313342,0.4843731980163764,0.40364433168031366
atropine,0.0,0.059611807906910196,0.38151557060422525,0.11445467118126758,0.0,12.89284181410654,2.4130859840717247,0.9537889265105631,3.2381134055033622,2.8613667795316897,0.28613667795316894,2.503695932090228,62.54709332824647,5.393676379417235,1.449759168296056,0.0,0.6724211931899471,1.502217559254137
azelastine,0.0,0.0,0.4191114836546522,6.705783738474435,0.2514668901927913,10.477787091366304,12.154233025984912,0.0,22.212908633696564,1.2573344509639564,18.440905280804696,0.5029337803855826,11.525565800502934,3.0595138306789607,2.5146689019279127,5.86756077116513,2.5146689019279127,0.4191114836546522
baclofen,0.111358574610245,0.5567928730512249,0.8351893095768375,2.5334075723830733,0.13919821826280623,7.043429844097996,2.6169265033407574,0.2505567928730512,19.682628062360802,0.9187082405345212,5.512249443207127,1.0022271714922049,42.98440979955456,6.23608017817372,1.9766146993318485,2.115812917594655,1.3363028953229399,2.143652561247216
beclometasone dipropionate,0.30298439630359036,69.68641114982579,0.07574609907589759,0.13634297833661566,0.0908953188910771,2.8783517648841084,0.6059687926071807,0.0,4.226632328435086,0.15149219815179518,0.37873049537948794,0.24238751704287229,0.07574609907589759,1.7573094985608242,0.4544765944553856,1.9693985759733375,4.39327374640206,12.119375852143614
benperidol,0.234192037470726,0.1405152224824356,0.8665105386416861,2.34192037470726,0.234192037470726,4.566744730679157,2.4121779859484778,0.468384074941452,12.59953161592506,2.34192037470726,2.271662763466042,0.2810304449648712,42.014051522248245,24.77751756440281,1.405152224824356,1.17096018735363,0.468384074941452,0.468384074941452
benzquinamide,0.0,0.0,0.2899751449875725,1.6570008285004143,0.0,0.2071251035625518,0.6213753106876554,0.0,2.4026512013256007,3.3140016570008286,0.2899751449875725,0.0,56.503728251864125,34.71416735708368,0.0,0.0,0.0,0.0
betaxolol,0.8321198252548367,1.1649677553567714,0.6240898689411275,1.4562096941959644,0.8321198252548367,8.487622217599334,12.128146453089245,0.24963594757645102,13.189099230289164,1.248179737882255,2.7043894320782194,7.697108383607239,18.285833159975038,3.5781152485957977,1.310588724776368,12.065737466195133,9.153318077803204,2.9124193883919287
bethanechol,0.0,0.06074743645818147,0.0,0.0,0.0,13.13845555717549,2.459056227827186,0.9719589833309035,3.1054089517422367,2.9158769499927106,0.29158769499927106,2.5513923312436217,62.6306069883851,5.4964280507362595,1.4773776546629733,0.0,0.685231083248287,1.4336395004130826
bimatoprost,0.3065395095367847,0.0,0.0,18.732970027247955,0.3405994550408719,6.8119891008174385,22.479564032697546,0.3065395095367847,23.126702997275206,2.3841961852861036,8.174386920980925,0.3405994550408719,1.1580381471389645,2.7247956403269753,2.7247956403269753,8.174386920980925,1.0217983651226157,0.17029972752043596
biperiden,0.0,0.059611807906910196,0.38151557060422525,0.11445467118126758,0.0,12.89284181410654,2.4130859840717247,0.9537889265105631,3.2381134055033622,2.8613667795316897,0.28613667795316894,2.503695932090228,62.54709332824647,5.393676379417235,1.449759168296056,0.0,0.6724211931899471,1.502217559254137
blonanserin,0.0,0.0,0.5213704594935258,1.1458691417440128,0.0,0.8307551277644093,0.4297009281540048,0.0,4.640770024063252,2.2917382834880256,7.075741950269279,0.0,58.78308697146785,24.005958519537067,0.0,0.2750085940185631,0.0,0.0
bosentan,0.8951822916666666,0.06510416666666666,1.7903645833333333,2.1158854166666665,0.5696614583333333,5.289713541666666,3.173828125,0.48828124999999994,18.06640625,0.8138020833333333,3.173828125,2.9296875,27.180989583333332,9.033203125,3.3365885416666665,12.20703125,6.184895833333333,1.3020833333333333
brexpiprazole,0.0,0.0,0.2899751449875725,1.6570008285004143,0.0,0.2071251035625518,0.6213753106876554,0.0,2.4026512013256007,3.3140016570008286,0.2899751449875725,0.0,56.503728251864125,34.71416735708368,0.0,0.0,0.0,0.0
brimonidine,0.240445456846368,0.0,0.21091706740909474,2.0669872606091286,0.4133974521218257,3.4590399055091536,2.442419640597317,1.2570657217582046,43.912933434573524,0.6749346157091032,18.391968278073062,0.6622795916645575,7.204927022694677,3.9188391124609803,2.235720914536404,8.605416350291065,0.6327512022272842,2.9528389437273264
bromocriptine,0.22064794003083185,0.045894771526413025,0.3506831260223354,1.808724713746072,0.31773303364439787,3.961660213940242,2.5124445438177387,0.9355472657307271,34.28104075220354,0.793155795097497,15.913129435023594,0.6384080398225401,19.169304635371923,6.997775868764489,1.9887734328112312,6.308765901361545,0.5742730385869117,2.1464631606199323
bumetanide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bupranolol,0.7385524372230428,1.03397341211226,0.5539143279172821,1.292466765140325,0.7385524372230428,8.973412112259968,10.764401772525849,0.22156573116691283,18.999261447562777,1.1078286558345642,2.400295420974889,6.831610044313146,16.229689807976367,3.2865583456425407,2.2710487444608565,10.709010339734121,8.12407680945347,2.58493353028065
buprenorphine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.033195020746888,0.0,0.0,0.0,87.96680497925311,0.0,0.0,0.0,0.0,0.0
buserelin,0.40080160320641284,1.6032064128256514,0.8016032064128257,10.02004008016032,0.40080160320641284,10.821643286573146,7.414829659318637,0.6012024048096193,21.8436873747495,1.8036072144288577,9.01803607214429,1.402805611222445,13.627254509018035,7.414829659318637,2.6052104208416833,3.406813627254509,2.004008016032064,2.6052104208416833
buspirone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
butorphanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.033195020746888,0.0,0.0,0.0,87.96680497925311,0.0,0.0,0.0,0.0,0.0
cabergoline,1.0372969698355183,0.04457805159623715,0.3680546824099581,1.756832443677346,0.3086172802816418,4.040028804279491,2.49065575456925,0.9087064363848343,33.57070193285859,0.8024049287322688,15.57545692502886,0.7115342850937854,19.006823870975115,6.934173077142889,1.9591482163064224,6.402094025398059,0.7864025512361836,2.2677654965880643
caffeine,1.0964021765613579,0.9380329732802729,0.3654673921871193,3.614066433850402,0.2111589377081134,7.869731178429302,3.9389263380167305,0.2639486721351417,14.293835783318444,0.3654673921871193,40.23389913099976,0.9583367172906684,7.276861853325753,6.29416064322261,2.314626817185089,2.598879233330626,2.1928043531227157,3.0618045967676446
calcitonin,0.0,0.0,0.0,0.02580074453577089,0.0,0.0,0.0,99.5171574951163,0.1105746194390181,0.0,0.0,0.0,0.2911798311894143,0.0,0.03317238583170543,0.0,0.0,0.02211492388780362
calcitonin (salmon),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,62.5,0.0,18.75,0.0,0.0,0.0
candesartan,6.345429307951616,0.0,0.0,2.97441998810232,1.1897679952409281,9.9147332936744,6.742018639698593,0.396589331746976,17.05334126511997,0.99147332936744,6.742018639698593,1.7846519928613922,0.25778306563553444,12.690858615903233,3.172714653975808,23.597065238945074,2.97441998810232,1.1897679952409281
cangrelor,0.30959752321981426,33.171163202122955,2.21141088014153,0.44228217602830605,0.0,4.643962848297214,0.7076514816452897,0.0,2.3883237505528525,0.44228217602830605,1.238390092879257,0.0,9.907120743034056,1.6364440513047325,0.5307386112339673,1.7691287041132242,3.0959752321981426,37.15170278637771
carazolol,1.1061946902654867,1.3550884955752214,0.5530973451327433,1.9358407079646016,1.1061946902654867,9.347345132743362,15.735619469026547,0.13827433628318583,27.627212389380528,1.65929203539823,3.0420353982300883,1.9358407079646016,3.31858407079646,2.986725663716814,2.986725663716814,13.550884955752212,5.254424778761061,3.0420353982300883
carbachol,0.0,0.059611807906910196,0.38151557060422525,0.11445467118126758,0.0,12.89284181410654,2.4130859840717247,0.9537889265105631,3.2381134055033622,2.8613667795316897,0.28613667795316894,2.503695932090228,62.54709332824647,5.393676379417235,1.449759168296056,0.0,0.6724211931899471,1.502217559254137
cariprazine,0.0,0.0,0.2840909090909091,1.6233766233766234,0.0,0.20292207792207792,0.6087662337662337,0.0,2.75974025974026,3.2467532467532467,0.2840909090909091,0.0,56.98051948051948,34.00974025974026,0.0,0.0,0.0,0.0
carvedilol,0.7385524372230428,1.03397341211226,0.5539143279172821,1.292466765140325,0.7385524372230428,8.973412112259968,10.764401772525849,0.22156573116691283,18.999261447562777,1.1078286558345642,2.400295420974889,6.831610044313146,16.229689807976367,3.2865583456425407,2.2710487444608565,10.709010339734121,8.12407680945347,2.58493353028065
cetirizine,0.0,0.0,0.4191114836546522,6.705783738474435,0.2514668901927913,10.477787091366304,12.154233025984912,0.0,22.212908633696564,1.2573344509639564,18.440905280804696,0.5029337803855826,11.525565800502934,3.0595138306789607,2.5146689019279127,5.86756077116513,2.5146689019279127,0.4191114836546522
cetrorelix,0.40080160320641284,1.6032064128256514,0.8016032064128257,10.02004008016032,0.40080160320641284,10.821643286573146,7.414829659318637,0.6012024048096193,21.8436873747495,1.8036072144288577,9.01803607214429,1.402805611222445,13.627254509018035,7.414829659318637,2.6052104208416833,3.406813627254509,2.004008016032064,2.6052104208416833
chenodeoxycholic acid,0.1698197218684311,74.74138734428878,0.4141944435815394,0.5073881933873857,0.051774305447692424,1.141105692067141,0.4038395824920009,0.12011638863864642,2.2925662452238207,0.1698197218684311,2.0047011069346508,0.36656208256966233,1.1856315947521565,0.9837118035061561,0.5156720822590165,2.1848756898926203,3.375684715189546,9.122632619883404
chloroquine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chlorpheniramine,0.0,0.0,0.4191114836546522,6.705783738474435,0.2514668901927913,10.477787091366304,12.154233025984912,0.0,22.212908633696564,1.2573344509639564,18.440905280804696,0.5029337803855826,11.525565800502934,3.0595138306789607,2.5146689019279127,5.86756077116513,2.5146689019279127,0.4191114836546522
chlorpromazine,0.19079621824809204,0.01708622849982914,0.3707711584462922,2.428522610775715,0.3348900785966511,4.165052967308349,3.336370885066636,0.9055701104909443,34.17701332725822,0.8827884724911721,15.456771841895431,0.5359380339446406,18.908759539810916,6.013782890989863,1.98200250598018,6.636291149333637,0.7757147738922427,2.101606105478984
cholic acid,0.6903353057199211,8.875739644970414,0.0,1.972386587771203,0.0,12.426035502958579,1.972386587771203,0.7889546351084812,17.94871794871795,0.6903353057199211,6.70611439842209,2.662721893491124,0.0,4.930966469428007,4.832347140039448,22.682445759368836,2.9585798816568047,7.889546351084812
cimetidine,0.0,34.78904515173945,0.5181347150259068,1.4803849000740192,0.0,7.253886010362695,1.1102886750555145,0.0,9.770540340488527,0.5181347150259068,8.142116950407106,5.181347150259068,12.953367875647668,3.034789045151739,1.2583271650629164,5.181347150259068,3.7009622501850483,4.441154700222058
cinacalcet,0.0,4.929577464788733,0.0,0.0,0.0,0.0,0.0,49.29577464788733,3.5211267605633805,0.0,0.0,0.0,0.0,0.0,42.25352112676057,0.0,0.0,0.0
clemastine,0.0,0.0,0.4191114836546522,6.705783738474435,0.2514668901927913,10.477787091366304,12.154233025984912,0.0,22.212908633696564,1.2573344509639564,18.440905280804696,0.5029337803855826,11.525565800502934,3.0595138306789607,2.5146689019279127,5.86756077116513,2.5146689019279127,0.4191114836546522
clidinium,0.0,0.0,0.0,0.0,0.0,33.19502074688796,1.970954356846473,5.186721991701244,6.327800829875518,4.149377593360995,1.5560165975103732,0.0,27.489626556016596,3.5269709543568464,2.697095435684647,0.0,0.933609958506224,0.5186721991701244
clonidine,0.240445456846368,0.0,0.21091706740909474,2.0669872606091286,0.4133974521218257,3.4590399055091536,2.442419640597317,1.2570657217582046,43.912933434573524,0.6749346157091032,18.391968278073062,0.6622795916645575,7.204927022694677,3.9188391124609803,2.235720914536404,8.605416350291065,0.6327512022272842,2.9528389437273264
clozapine,2.042390561175295,0.06837187286337897,0.48123279746147507,2.7208499149734395,0.08590312231552744,5.421538893076908,4.360898301221928,0.08765624726074227,15.751827632755388,0.7836468505110359,13.996073000122719,0.6977437281955083,34.821444224329866,8.280009116249714,1.6917655721323257,3.144229589242826,1.9836608755105976,2.242246804929787
codeine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
conivaptan,3.0097817908201656,0.0,0.0,2.0316027088036117,0.45146726862302483,4.36418359668924,2.558314522197141,0.3235515425131678,25.726109857035365,0.7524454477050414,18.585402558314524,0.8577878103837472,0.6772009029345373,18.811136192626034,2.2573363431151243,17.607223476297968,0.4213694507148232,0.28592927012791575
corticotropin zinc hydroxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3157894736842104,0.0,0.0,0.0,0.0,98.68421052631578,0.0,0.0,0.0,0.0
cosyntropin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3157894736842104,0.0,0.0,0.0,0.0,98.68421052631578,0.0,0.0,0.0,0.0
cyclizine,0.0,0.0,0.4191114836546522,6.705783738474435,0.2514668901927913,10.477787091366304,12.154233025984912,0.0,22.212908633696564,1.2573344509639564,18.440905280804696,0.5029337803855826,11.525565800502934,3.0595138306789607,2.5146689019279127,5.86756077116513,2.5146689019279127,0.4191114836546522
cyclosporin A,0.15865460891638902,76.15421227986673,0.42307895711037075,0.47596382674916704,0.05288486963879634,0.8990427838595377,0.3701940874715744,0.10576973927759269,1.9567401766354646,0.15865460891638902,1.9038553069966682,0.31730921783277805,1.211063514728436,0.8990427838595377,0.42307895711037075,1.7452006980802792,3.384631656882966,9.149082447511766
cyproheptadine,4.055913666980517,0.0,0.3041935250235388,4.381835300934308,0.08691243572101108,6.340986456145434,6.518432679075831,0.0,20.565655102484246,0.6264938074889549,19.414065329180847,0.8980951691171145,16.288838994712826,3.8712247410733687,2.172810893025277,5.395813717679438,3.6430795973057144,4.3637285434924316
dapiprazole,0.0,0.0,0.0,7.305194805194805,0.0,5.357142857142857,1.1363636363636362,0.0,42.12662337662338,0.40584415584415584,11.363636363636363,0.0,12.5,6.087662337662337,3.2467532467532467,3.2467532467532467,4.058441558441558,2.435064935064935
darifenacin,0.0,0.059611807906910196,0.38151557060422525,0.11445467118126758,0.0,12.89284181410654,2.4130859840717247,0.9537889265105631,3.2381134055033622,2.8613667795316897,0.28613667795316894,2.503695932090228,62.54709332824647,5.393676379417235,1.449759168296056,0.0,0.6724211931899471,1.502217559254137
degarelix,0.40080160320641284,1.6032064128256514,0.8016032064128257,10.02004008016032,0.40080160320641284,10.821643286573146,7.414829659318637,0.6012024048096193,21.8436873747495,1.8036072144288577,9.01803607214429,1.402805611222445,13.627254509018035,7.414829659318637,2.6052104208416833,3.406813627254509,2.004008016032064,2.6052104208416833
deoxycholic acid,0.1698197218684311,74.74138734428878,0.4141944435815394,0.5073881933873857,0.051774305447692424,1.141105692067141,0.4038395824920009,0.12011638863864642,2.2925662452238207,0.1698197218684311,2.0047011069346508,0.36656208256966233,1.1856315947521565,0.9837118035061561,0.5156720822590165,2.1848756898926203,3.375684715189546,9.122632619883404
desloratadine,0.0,0.0,0.4191114836546522,6.705783738474435,0.2514668901927913,10.477787091366304,12.154233025984912,0.0,22.212908633696564,1.2573344509639564,18.440905280804696,0.5029337803855826,11.525565800502934,3.0595138306789607,2.5146689019279127,5.86756077116513,2.5146689019279127,0.4191114836546522
desmopressin,3.0097817908201656,0.0,0.0,2.0316027088036117,0.45146726862302483,4.36418359668924,2.558314522197141,0.3235515425131678,25.726109857035365,0.7524454477050414,18.585402558314524,0.8577878103837472,0.6772009029345373,18.811136192626034,2.2573363431151243,17.607223476297968,0.4213694507148232,0.28592927012791575
dexamfetamine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dexetimide,0.0,0.0,0.0,0.0,0.0,53.324968632371395,0.0,0.0,1.7565872020075282,0.0,0.0,26.348808030112924,3.5131744040150563,0.0,10.037641154328734,0.0,1.2547051442910917,0.0
dexmedetomidine,0.240445456846368,0.0,0.21091706740909474,2.0669872606091286,0.4133974521218257,3.4590399055091536,2.442419640597317,1.2570657217582046,43.912933434573524,0.6749346157091032,18.391968278073062,0.6622795916645575,7.204927022694677,3.9188391124609803,2.235720914536404,8.605416350291065,0.6327512022272842,2.9528389437273264
