Drug,Target (HGNC Symbol)
exendin-4,GLP1R
famotidine,HRH2
fenoldopam,DRD1
fenoldopam,DRD4
fenoterol,ADRB2
fentanyl,OPRD1
fentanyl,OPRK1
fentanyl,OPRM1
fexofenadine,HRH1
fingolimod,S1PR1
fingolimod,S1PR5
flibanserin,HTR1A
flibanserin,HTR2A
fluoxetine,HTR2B
flupentixol,DRD1
flupentixol,DRD2
flupentixol,DRD3
flupentixol,DRD5
fluphenazine,HTR2A
fluphenazine,HTR6
fluphenazine,HTR7
fluphenazine,DRD1
fluphenazine,DRD2
fluphenazine,DRD5
fluphenazine,HRH1
fluspirilene,HTR1A
fluspirilene,HTR1D
fluspirilene,HTR1E
fluspirilene,HTR2A
fluspirilene,HRH1
formoterol,ADRB2
fosaprepitant,TACR1
frovatriptan,HTR1A
frovatriptan,HTR1B
frovatriptan,HTR1D
FSH,CGA
fulvestrant,GPER1
furosemide,GPR35
gallamine,CHRM2
glucagon,GLP1R
glucagon,GCGR
glycopyrrolate,CHRM1
glycopyrrolate,CHRM2
glycopyrrolate,CHRM3
glycopyrrolate,CHRM4
glycopyrrolate,CHRM5
goserelin,GNRH1
guanabenz,ADRA2A
guanabenz,ADRA2B
guanabenz,ADRA2C
guanfacine,ADRA2A
guanfacine,ADRA2B
guanfacine,ADRA2C
haloperidol,HTR1A
haloperidol,HTR1D
haloperidol,HTR2A
haloperidol,HTR2B
haloperidol,HTR7
haloperidol,DRD1
haloperidol,DRD2
haloperidol,DRD3
haloperidol,DRD4
haloperidol,DRD5
haloperidol,HRH1
histrelin,GNRH1
hydrocodone,OPRK1
hydrocodone,OPRM1
hydromorphone,OPRD1
hydromorphone,OPRK1
hydromorphone,OPRM1
hydroxyzine,HRH1
icatibant,BDKRB1
icatibant,BDKRB2
iloperidone,HTR1A
iloperidone,HTR6
iloperidone,HTR7
iloprost,PTGDR
iloprost,PTGER1
iloprost,PTGER2
iloprost,PTGER3
iloprost,PTGER4
iloprost,PTGFR
iloprost,PTGIR
iloprost,TBXA2R
imipramine,CHRM2
indacaterol,ADRB1
indacaterol,ADRB2
indomethacin,PTGDR2
indoramin,ADRA1A
indoramin,ADRA1B
indoramin,ADRA1D
ipratropium,CHRM1
ipratropium,CHRM2
ipratropium,CHRM3
ipratropium,CHRM4
ipratropium,CHRM5
irbesartan,AGTR1
isoprenaline,ADRB1
isoprenaline,ADRB2
isoprenaline,ADRB3
istradefylline,TBXA1R
istradefylline,ADORA2A
istradefylline,ADORA2B
istradefylline,ADORA3
ketanserin,HTR1A
ketanserin,HTR1B
ketanserin,HTR1D
ketanserin,HTR2A
ketanserin,HTR2B
ketanserin,HTR2C
ketanserin,HTR5A
ketanserin,HTR7
ketanserin,ADRA1A
ketanserin,ADRA1B
ketanserin,ADRA1D
ketanserin,DRD1
ketanserin,DRD5
ketotifen,HRH1
labetalol,ADRA1D
labetalol,ADRB1
labetalol,ADRB2
lanreotide,SSTR2
lanreotide,SSTR3
lanreotide,SSTR5
latanoprost (free acid form),PTGFR
latanoprost (isopropyl ester),PTGFR
leuprolide,GNRH1
levallorphan,OPRM1
levobunolol,ADRB1
levobunolol,ADRB2
levobunolol,ADRB3
levocabastine,HCRTR2
levodopa,GPR143
levorphanol,OPRM1
LH,LHCGR
liraglutide,GLP1R
lisuride,HTR1A
lisuride,HTR1B
lisuride,HTR1D
lisuride,HTR2A
lisuride,HTR2B
lisuride,HTR2C
lisuride,HTR6
lisuride,ADRA1A
lisuride,ADRA2A
lisuride,ADRA2B
lisuride,ADRA2C
lisuride,DRD1
lisuride,DRD2
lisuride,DRD3
lisuride,DRD4
lisuride,DRD5
lixisenatide,GLP1R
loperamide,OPRM1
loratadine,HRH1
lorazepam,GPR68
lorcaserin,HTR2A
lorcaserin,HTR2B
lorcaserin,HTR2C
losartan,AGTR1
loxapine,HTR2A
loxapine,HTR2C
loxapine,HTR6
loxapine,DRD2
loxapine,DRD3
loxapine,DRD4
loxapine,HRH1
lurasidone,HTR7
lurasidone,ADRA2A
lurasidone,ADRA2C
macitentan,EDNRA
macitentan,EDNRB
maraviroc,CCR5
melatonin,HTR2B
melatonin,MTNR1A
melatonin,MTNR1B
mesoridazine,HTR1A
mesoridazine,HTR2A
mesoridazine,HTR2C
mesoridazine,DRD1
mesoridazine,DRD2
mesoridazine,DRD3
methadone,OPRM1
methoxamine,ADRA1A
methoxamine,ADRA1B
methoxamine,ADRA1D
methylergonovine,HTR1E
methylergonovine,HTR1F
methylergonovine,HTR2A
methylergonovine,HTR2B
methylergonovine,HTR2C
methylnaltrexone,OPRD1
methylnaltrexone,OPRK1
methylnaltrexone,OPRM1
metoprolol,ADRB1
metoprolol,ADRB2
mianserin,HTR2A
mianserin,HTR2B
mianserin,HTR2C
mianserin,HTR6
mianserin,HTR7
mianserin,ADRA1A
mianserin,ADRA1B
mianserin,ADRA1D
mirabegron,ADRB1
mirabegron,ADRB2
mirabegron,ADRB3
mirtazapine,HTR2A
mirtazapine,HTR2C
mirtazapine,ADRA2A
mirtazapine,ADRA2B
mirtazapine,ADRA2C
misoprostol (methyl ester),PTGER2
misoprostol (methyl ester),PTGER3
misoprostol (methyl ester),PTGER4
mogamulizumab,CCR4
molindone,HTR2A
molindone,HRH1
montelukast,CYSLTR1
morphine,OPRD1
morphine,OPRK1
morphine,OPRM1
mosapride,HTR4
nabilone,CNR1
nabilone,CNR2
nadolol,ADRB1
nadolol,ADRB2
nadolol,ADRB3
nafarelin,GNRH1
nalbuphine,OPRD1
nalbuphine,OPRK1
nalbuphine,OPRM1
nalmefene,OPRD1
nalmefene,OPRK1
nalmefene,OPRM1
nalorphine,OPRD1
nalorphine,OPRK1
nalorphine,OPRM1
naloxone,OPRD1
naloxone,OPRK1
naloxone,OPRM1
naltrexone,OPRD1
naltrexone,OPRK1
naltrexone,OPRM1
naratriptan,HTR1A
naratriptan,HTR1B
naratriptan,HTR1D
naratriptan,HTR1E
naratriptan,HTR1F
nefazodone,HTR2A
netupitant,TACR1
nicardipine,ADORA3
niclosamide,NPY4R
N-methyl scopolamine,CHRM1
N-methyl scopolamine,CHRM3
octreotide,SSTR2
octreotide,SSTR3
olanzapine,HTR1A
olanzapine,HTR1B
olanzapine,HTR1D
olanzapine,HTR1E
olanzapine,HTR1F
olanzapine,HTR2A
olanzapine,HTR2C
olanzapine,HTR6
olanzapine,HTR7
olanzapine,DRD2
olanzapine,HRH1
olmesartan,AGTR1
olodaterol,ADRB2
orciprenaline,ADRB2
oxybutynin,CHRM1
oxybutynin,CHRM2
oxybutynin,CHRM3
oxybutynin,CHRM4
oxybutynin,CHRM5
oxymetazoline,HTR1B
oxymetazoline,HTR1D
oxymetazoline,HTR2C
oxymetazoline,ADRA1A
oxymetazoline,ADRA1B
oxymetazoline,ADRA1D
oxymetazoline,ADRA2A
oxymetazoline,ADRA2B
oxymetazoline,ADRA2C
oxytocin,OXTR
oxytocin,AVPR1A
oxytocin,AVPR1B
oxytocin,AVPR2
pasireotide,SSTR1
pasireotide,SSTR2
pasireotide,SSTR3
pasireotide,SSTR5
pentoxifylline,ADRA2B
periciazine,DRD1
perospirone,DRD2
perospirone,DRD3
perospirone,DRD4
perphenazine,HTR2A
perphenazine,HTR2C
perphenazine,HTR6
perphenazine,HTR7
perphenazine,DRD2
perphenazine,HRH1
pethidine,OPRD1
pethidine,OPRK1
pethidine,OPRM1
PGE1,PTGDR
PGE1,PTGER1
PGE1,PTGER4
PGE1,PTGIR
PGE2,PTGDR
PGE2,PTGDR2
PGE2,PTGER1
PGE2,PTGER2
PGE2,PTGER3
PGE2,PTGER4
PGE2,PTGFR
PGE2,TBXA2R
PGI2,PTGER1
PGI2,PTGER4
phenoxybenzamine,ADRA2B
phentolamine,ADRA1A
phentolamine,ADRA1B
phentolamine,ADRA1D
phentolamine,ADRA2A
phentolamine,ADRA2B
phentolamine,ADRA2C
phenylephrine,ADRA1A
phenylephrine,ADRA1B
pilocarpine,CHRM1
pilocarpine,CHRM2
pilocarpine,CHRM3
pilocarpine,CHRM4
pilocarpine,CHRM5
pimavanserin,HTR2A
pimozide,HTR1A
pimozide,HTR2A
pimozide,DRD2
pimozide,DRD3
pimozide,HRH1
pindolol,HTR1A
pindolol,HTR2A
pindolol,HTR2B
pindolol,ADRB1
pindolol,ADRB2
pipotiazine,DRD2
pirenzepine,CHRM1
pirenzepine,CHRM2
pirenzepine,CHRM3
pirenzepine,CHRM4
pirenzepine,CHRM5
pizotifen,HTR1A
plerixafor,ACKR3
plerixafor,CCR4
plerixafor,CXCR4
practolol,ADRB1
pramipexole,DRD2
pramipexole,DRD3
pramlintide,AMY1
pramlintide,AMY2
pramlintide,AMY3
pramlintide,CALCR
pranlukast,CYSLTR1
pranlukast,CYSLTR2
prazosin,ADRA1A
prazosin,ADRA1B
prazosin,ADRA1D
prazosin,ADRA2A
prazosin,ADRA2B
prazosin,ADRA2C
procaterol,ADRB2
prochlorperazine,DRD1
prochlorperazine,DRD2
prochlorperazine,DRD3
prochlorperazine,DRD4
promazine,DRD2
promazine,DRD3
promethazine,HRH1
propafenone,ADRB1
propafenone,ADRB2
propantheline,CHRM1
propantheline,CHRM2
propantheline,CHRM3
propantheline,CHRM4
propranolol,ADRB2
propranolol,ADRB3
prucalopride,HTR4
pyrilamine,HRH1
quetiapine,HTR1A
quetiapine,HTR1D
quetiapine,HTR1E
quetiapine,HTR1F
quetiapine,HTR2A
quetiapine,DRD2
quetiapine,HRH1
ramelteon,MTNR1A
ramelteon,MTNR1B
ranitidine,HRH2
regadenoson,TBXA1R
regadenoson,ADORA2A
regadenoson,ADORA2B
regadenoson,ADORA3
risperidone,HTR1A
risperidone,HTR1B
risperidone,HTR1D
risperidone,HTR1E
risperidone,HTR1F
risperidone,HTR2A
risperidone,HTR2C
risperidone,HTR6
risperidone,HTR7
risperidone,ADRA1A
risperidone,ADRA1B
risperidone,ADRA1D
risperidone,DRD2
risperidone,DRD3
risperidone,HRH1
rizatriptan,HTR1A
rizatriptan,HTR1B
rizatriptan,HTR1D
rizatriptan,HTR1E
rizatriptan,HTR1F
rolapitant,TACR1
ropinirole,DRD2
ropinirole,DRD3
rosiglitazone,FFAR1
rotigotine,DRD1
rotigotine,DRD2
rotigotine,DRD3
rotigotine,DRD4
rotigotine,DRD5
roxithromycin,MLNR
salbutamol,ADRB2
salmeterol,ADRB2
sarpogrelate,HTR2A
sarpogrelate,HTR2B
sarpogrelate,HTR2C
scopolamine,CHRM1
scopolamine,CHRM2
scopolamine,CHRM3
scopolamine,CHRM4
secretin,SCTR
selexipag,PTGIR
silodosin,ADRA1A
silodosin,ADRA1B
silodosin,ADRA1D
solifenacin,CHRM1
solifenacin,CHRM2
solifenacin,CHRM3
solifenacin,CHRM4
solifenacin,CHRM5
sonidegib,SMO
sotalol,ADRB1
sotalol,ADRB2
sufentanil,OPRM1
sulpiride,DRD2
sulpiride,DRD3
sumatriptan,HTR1A
sumatriptan,HTR1B
sumatriptan,HTR1D
sumatriptan,HTR1E
sumatriptan,HTR1F
sumatriptan,HTR5A
sumatriptan,HTR6
sumatriptan,HTR7
suramin,P2RY1
suramin,P2RY11
suramin,P2RY13
suramin,P2RY2
suvorexant,HCRTR1
suvorexant,HCRTR2
tafluprost,PTGFR
tamoxifen,GPER1
tamsulosin,ADRA1A
tamsulosin,ADRA1B
tamsulosin,ADRA1D
tapentadol,OPRM1
tasimelteon,MTNR1A
tasimelteon,MTNR1B
teduglutide,GLP2R
telmisartan,AGTR1
terazosin,ADRA1A
terazosin,ADRA1B
terazosin,ADRA1D
terbutaline,ADRB2
terguride,HTR1A
terguride,HTR1B
terguride,HTR1D
terguride,HTR2A
terguride,HTR2B
terguride,HTR2C
terguride,ADRA1A
terguride,ADRA2A
terguride,ADRA2B
terguride,ADRA2C
terguride,DRD2
terguride,DRD3
terguride,DRD4
teriparatide,PTH1R
teriparatide,PTH2R
tesamorelin,GHRH
theophylline,TBXA1R
theophylline,ADORA2A
theophylline,ADORA2B
theophylline,ADORA3
thioridazine,HTR1A
thioridazine,HTR2A
thioridazine,HTR2C
thioridazine,HTR6
thioridazine,HTR7
thioridazine,DRD1
thioridazine,DRD5
thioridazine,HRH1
thiothixene,HTR2A
thiothixene,HRH1
ticagrelor,P2RY12
timolol,ADRB2
tiotropium,CHRM1
tiotropium,CHRM2
tiotropium,CHRM3
tolterodine,CHRM1
tolterodine,CHRM2
tolterodine,CHRM3
tolterodine,CHRM4
tolterodine,CHRM5
tolvaptan,AVPR1A
tolvaptan,AVPR2
tramadol,OPRD1
tramadol,OPRK1
tramadol,OPRM1
trazodone,HTR2A
trazodone,HTR2B
trazodone,HTR2C
treprostinil,PTGDR
treprostinil,PTGER1
treprostinil,PTGER2
treprostinil,PTGER3
treprostinil,PTGER4
treprostinil,PTGIR
trifluoperazine,HTR2A
trifluoperazine,HTR2C
trifluoperazine,DRD2
trifluoperazine,DRD4
trifluoperazine,HRH1
trihexyphenidyl,CHRM1
tripelennamine,HRH1
triprolidine,HRH1
triptorelin,GNRH1
tropicamide,CHRM3
tropisetron,HTR4
TSH,TSHR
umeclidinium,CHRM1
umeclidinium,CHRM2
umeclidinium,CHRM3
umeclidinium,CHRM4
umeclidinium,CHRM5
valsartan,AGTR1
vapreotide,SSTR2
vapreotide,SSTR3
vapreotide,SSTR5
vasopressin,OXTR
vasopressin,AVPR1A
vasopressin,AVPR1B
vasopressin,AVPR2
vilanterol,ADRB2
vilazodone,HTR1A
vilazodone,HTR4
vilazodone,DRD2
vilazodone,DRD3
vilazodone,HRH1
vismodegib,SMO
vorapaxar,F2R
vortioxetine,HTR1A
vortioxetine,HTR1B
vortioxetine,HTR2A
vortioxetine,HTR2C
vortioxetine,HTR5A
vortioxetine,HTR6
vortioxetine,HTR7
yohimbine,HTR1A
yohimbine,HTR1B
yohimbine,HTR1D
yohimbine,HTR1E
yohimbine,HTR1F
yohimbine,HTR2B
yohimbine,HTR5A
yohimbine,HTR7
yohimbine,ADRA2A
yohimbine,ADRA2B
yohimbine,ADRA2C
zafirlukast,CYSLTR1
zafirlukast,CYSLTR2
ziprasidone,HTR1A
ziprasidone,HTR1B
ziprasidone,HTR1D
ziprasidone,HTR1E
ziprasidone,HTR2A
ziprasidone,HTR2C
ziprasidone,HTR7
ziprasidone,DRD2
ziprasidone,HRH1
zolmitriptan,HTR1A
zolmitriptan,HTR1B
zolmitriptan,HTR1D
zolmitriptan,HTR1E
zolmitriptan,HTR1F
zotepine,HTR1A
zotepine,HTR1B
zotepine,HTR1D
zotepine,HTR1E
zotepine,HTR2A
zotepine,HTR2C
zotepine,HTR6
zotepine,HTR7
zotepine,ADRA2B
zotepine,DRD2
zotepine,DRD3
zotepine,DRD4
zotepine,HRH1
